SubmitTime,Used Memory,RunTime,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3
1136281263,59932,1850,1.0,0.0,0.0
1149701403,595724,35457,0.0,1.0,0.0
1153233563,0,2,0.0,1.0,0.0
1153741362,85232,249,0.0,1.0,0.0
1161852966,291696,26483,0.0,1.0,0.0
1149542736,110816,171,0.0,1.0,0.0
1146419512,588248,1776,0.0,1.0,0.0
1151653667,25652,56,0.0,1.0,0.0
1151614800,25652,67,0.0,1.0,0.0
1149511444,75036,950,0.0,1.0,0.0
1139414225,559856,2237,1.0,0.0,0.0
1149605143,56300,194,1.0,0.0,0.0
1147897878,77776,2526,0.0,1.0,0.0
1152183193,594068,34588,0.0,1.0,0.0
1151112063,594864,32988,0.0,1.0,0.0
1136301424,59836,1852,1.0,0.0,0.0
1145332347,600184,55976,0.0,1.0,0.0
1153126006,596124,39206,0.0,1.0,0.0
1151053833,662352,41753,0.0,1.0,0.0
1149517937,601168,34976,0.0,1.0,0.0
1150042663,608856,44866,0.0,1.0,0.0
1149553558,618032,26678,0.0,1.0,0.0
1145634833,577676,26303,0.0,0.0,0.0
1145953949,25652,53,0.0,1.0,0.0
1152184393,597380,34075,0.0,1.0,0.0
1153745306,80196,238,0.0,1.0,0.0
1151613516,25628,66,0.0,1.0,0.0
1151556535,594776,33970,0.0,1.0,0.0
1151864065,592548,33419,0.0,1.0,0.0
1148940711,598272,5945,0.0,1.0,0.0
1153187616,0,6,0.0,1.0,0.0
1145330809,595904,52452,1.0,0.0,0.0
1145394391,583920,25173,0.0,1.0,0.0
1147432666,572512,20957,1.0,0.0,0.0
1152298196,1389520,2835,0.0,1.0,0.0
1146444491,588076,1514,0.0,1.0,0.0
1141716893,574752,47069,1.0,0.0,0.0
1149959222,592632,49049,0.0,1.0,0.0
1152009022,594396,33114,0.0,1.0,0.0
1142982151,62092,1854,1.0,0.0,0.0
1152182764,594568,38783,0.0,1.0,0.0
1148621845,598900,6371,0.0,1.0,0.0
1150974538,582344,54245,1.0,0.0,0.0
1136285628,59924,1850,1.0,0.0,0.0
1151560059,580476,42669,1.0,0.0,0.0
1150813843,72680,1854,0.0,1.0,0.0
1145627162,598428,173427,0.0,1.0,0.0
1152172620,25704,55,0.0,1.0,0.0
1151710650,25672,61,0.0,1.0,0.0
1148657977,1102900,2227,0.0,1.0,0.0
1148117255,0,4,0.0,1.0,0.0
1148064606,0,3,1.0,0.0,0.0
1148653860,0,25,0.0,1.0,0.0
1147724072,584208,21004,0.0,1.0,0.0
1154120544,604136,39613,0.0,1.0,0.0
1147178534,64540,465,0.0,1.0,0.0
