SubmitTime,Used Memory,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3,RunTime
1152669728,1632956,0.0,1.0,0.0,23896
1151736803,66408,0.0,1.0,0.0,64
1151736014,25664,0.0,1.0,0.0,61
1148953372,598880,0.0,1.0,0.0,6106
1149608042,1591108,0.0,1.0,0.0,36650
1154030943,594912,0.0,1.0,0.0,37411
1152172616,160364,0.0,1.0,0.0,423
1150970738,581384,1.0,0.0,0.0,51596
1136286796,59892,1.0,0.0,0.0,1850
1151163600,1554264,0.0,1.0,0.0,34820
1150116514,597424,0.0,1.0,0.0,42299
1151428905,600200,0.0,1.0,0.0,34845
1136289309,57140,1.0,0.0,0.0,1849
1149938658,591532,1.0,0.0,0.0,59718
1151657629,20268,0.0,0.0,0.0,56
1139400622,559196,1.0,0.0,0.0,2106
1153228734,599768,0.0,1.0,0.0,43918
1145531563,594380,1.0,0.0,0.0,73148
1151723236,596908,0.0,1.0,0.0,36274
1150084752,72212,0.0,1.0,0.0,168
1150795290,53544,0.0,1.0,0.0,3606
1153735360,62908,1.0,0.0,0.0,257
1153747009,74820,0.0,1.0,0.0,244
1154356659,594960,0.0,1.0,0.0,33979
1140647474,567972,1.0,0.0,0.0,40506
1150042677,595916,0.0,1.0,0.0,45805
1145180510,574512,1.0,0.0,0.0,29969
1140800736,0,1.0,0.0,0.0,1
1137051545,630956,0.0,0.0,0.0,1744
1147524011,589228,1.0,0.0,0.0,49102
1148835954,598844,0.0,1.0,0.0,5770
1151602497,582648,1.0,0.0,0.0,52136
1151611104,20756,0.0,1.0,0.0,80
1148075344,649596,0.0,1.0,0.0,38097
1151013960,597648,1.0,0.0,0.0,41679
1148118334,617112,0.0,1.0,0.0,34543
1150795297,53612,0.0,1.0,0.0,3606
1149888658,614272,0.0,1.0,0.0,48809
1151791881,74416,0.0,1.0,0.0,90
1145656372,571244,0.0,0.0,0.0,25663
1152733622,600788,0.0,1.0,0.0,44177
1137048156,630740,0.0,0.0,0.0,1710
1151743509,25660,0.0,1.0,0.0,61
1151722150,79212,0.0,1.0,0.0,62
1147954131,77768,0.0,1.0,0.0,2586
1153733632,607132,0.0,1.0,0.0,174824
1139471132,551504,1.0,0.0,0.0,6956
1151216414,1564080,0.0,1.0,0.0,36274
1146207150,598220,0.0,1.0,0.0,29808
1149503105,599644,0.0,1.0,0.0,46654
1151435128,25680,0.0,1.0,0.0,53
1152182285,604056,0.0,1.0,0.0,32945
1151815428,76736,0.0,1.0,0.0,959
1153737923,25644,0.0,1.0,0.0,63
1145417442,581192,0.0,1.0,0.0,23562
1153175777,75560,0.0,1.0,0.0,1850
1140676659,600632,1.0,0.0,0.0,36176
1153724065,62944,0.0,0.0,0.0,243
1145991546,591160,0.0,1.0,0.0,26965
1145949739,25656,0.0,1.0,0.0,64
1145591534,599836,0.0,1.0,0.0,55002
1152174990,25664,0.0,1.0,0.0,57
1139933250,570572,1.0,0.0,0.0,29497
1146449392,588092,0.0,1.0,0.0,1577
1151304975,584544,1.0,0.0,0.0,43011
1151915599,62896,0.0,0.0,0.0,1854
1152300053,1593288,0.0,1.0,0.0,30854
1151668633,76556,0.0,1.0,0.0,76
1149509217,587168,1.0,0.0,0.0,37813
1147298562,577348,0.0,0.0,0.0,24903
1153067320,597660,0.0,1.0,0.0,41666
1148112914,589864,0.0,1.0,0.0,21397
1151710650,25672,0.0,1.0,0.0,61
1147457377,63068,0.0,0.0,0.0,64
1145723299,571296,1.0,0.0,0.0,28905
1151723582,71904,0.0,1.0,0.0,963
1148198217,615012,0.0,1.0,0.0,34631
1151438463,68904,0.0,1.0,0.0,53
1151709127,75360,0.0,1.0,0.0,62
1145178541,567956,1.0,0.0,0.0,27380
1151613714,25688,0.0,1.0,0.0,68
1152445017,0,0.0,1.0,0.0,1
1151656127,64780,0.0,0.0,0.0,954
1153731379,62664,1.0,0.0,0.0,249
1146013793,583096,0.0,0.0,0.0,28089
1146447579,588104,0.0,1.0,0.0,1634
1154419604,68304,0.0,1.0,0.0,82
1150863864,1604360,0.0,1.0,0.0,37694
1149508599,580944,0.0,0.0,0.0,37742
1153007221,632628,0.0,1.0,0.0,41443
1153750819,85176,0.0,1.0,0.0,237
1149569921,602836,0.0,1.0,0.0,34152
1153741360,67312,1.0,0.0,0.0,246
1140791618,0,1.0,0.0,0.0,1
1147429570,55208,0.0,0.0,0.0,67
1149851347,0,0.0,1.0,0.0,2
1145477778,594496,0.0,1.0,0.0,22531
1146731859,68604,0.0,0.0,0.0,3811
1153726358,85132,0.0,1.0,0.0,241
1146283376,619384,0.0,1.0,0.0,30311
1148653510,598880,0.0,1.0,0.0,5698
1151457872,580984,1.0,0.0,0.0,36637
1153732431,67220,1.0,0.0,0.0,252
1149493390,621144,0.0,1.0,0.0,26979
1147674723,598400,0.0,1.0,0.0,40347
1145905683,581732,0.0,1.0,0.0,24666
1151720886,73464,0.0,1.0,0.0,60
1149392313,617388,0.0,1.0,0.0,22985
1140867631,567948,1.0,0.0,0.0,29764
1146444152,588132,0.0,1.0,0.0,1483
1146413112,588084,0.0,1.0,0.0,1400
1150797389,53584,0.0,1.0,0.0,3606
1148026353,669468,0.0,1.0,0.0,33764
1149659924,86596,0.0,1.0,0.0,3452
1151652358,1217380,0.0,1.0,0.0,31116
1152573397,0,0.0,1.0,0.0,2
1151702967,25632,0.0,1.0,0.0,59
1145511996,588376,0.0,0.0,0.0,63376
1151652374,20284,0.0,0.0,0.0,54
1150798195,53600,0.0,1.0,0.0,3606
1151743453,69604,0.0,1.0,0.0,75
1136977802,646668,0.0,0.0,0.0,47128
1149493385,614184,0.0,1.0,0.0,24850
1153002687,609948,0.0,1.0,0.0,36330
1151645767,25652,0.0,1.0,0.0,57
1141535835,11596,1.0,0.0,0.0,86
1151303869,580384,0.0,0.0,0.0,49552
1149448095,610988,0.0,1.0,0.0,19330
1146415757,588344,0.0,1.0,0.0,2193
1151652011,20308,0.0,0.0,0.0,56
1150128219,615488,0.0,1.0,0.0,43932
1148641184,598816,0.0,1.0,0.0,6300
1145904493,76864,0.0,1.0,0.0,960
1145489695,1396196,0.0,1.0,0.0,30430
1148457878,81716,0.0,1.0,0.0,5605
1151628613,25716,0.0,1.0,0.0,77
1147762079,0,1.0,0.0,0.0,2
1151718880,25668,0.0,1.0,0.0,73
1147409505,76040,0.0,1.0,0.0,952
1145104612,581476,0.0,1.0,0.0,22057
1150449047,72732,0.0,1.0,0.0,1849
1149915854,598120,0.0,1.0,0.0,49321
1149653425,97448,0.0,1.0,0.0,391
1147473756,595872,1.0,0.0,0.0,48373
1137500463,2098296,1.0,0.0,0.0,3130
1149662820,63864,0.0,1.0,0.0,190
1154527280,145724,0.0,1.0,0.0,2148
1147470646,581268,0.0,0.0,0.0,46745
1149355809,931700,0.0,1.0,0.0,18932
1150441271,598588,0.0,0.0,0.0,29827
1149457224,110772,0.0,1.0,0.0,173
1151792490,74332,0.0,1.0,0.0,96
1151652834,67396,0.0,1.0,0.0,51
1148318632,1183064,0.0,1.0,0.0,31286
1149656783,63808,0.0,1.0,0.0,192
1146456099,588008,0.0,1.0,0.0,1481
1140270472,278320,0.0,0.0,0.0,853
1153109425,596428,0.0,1.0,0.0,36375
1151916498,76624,0.0,1.0,0.0,959
1151740493,71180,0.0,1.0,0.0,74
1145178352,570164,0.0,0.0,0.0,30120
1151644204,68880,0.0,1.0,0.0,59
1146447189,588288,0.0,1.0,0.0,1503
1152339971,96448,0.0,1.0,0.0,6303
1145904586,87052,0.0,1.0,0.0,956
1145298429,600980,0.0,1.0,0.0,55084
1149706537,592264,0.0,1.0,0.0,33158
1153737321,69908,0.0,1.0,0.0,274
1147340574,598476,0.0,1.0,0.0,20826
1150126000,1613528,0.0,1.0,0.0,44792
1152033923,20740,0.0,1.0,0.0,85
1151303908,72688,0.0,1.0,0.0,1850
1136286318,59860,1.0,0.0,0.0,1852
1150795476,53584,0.0,1.0,0.0,3606
1147673593,609928,1.0,0.0,0.0,52210
1153228326,598792,0.0,1.0,0.0,45840
1150440016,648904,0.0,1.0,0.0,23249
1146415274,588312,0.0,1.0,0.0,1903
1150440010,597460,1.0,0.0,0.0,28283
1140928494,569584,1.0,0.0,0.0,27576
1150502444,613976,0.0,1.0,0.0,24569
1145564116,591372,0.0,0.0,0.0,62793
1151427194,602572,0.0,1.0,0.0,33152
1145559977,587120,1.0,0.0,0.0,59617
1152342227,592680,0.0,1.0,0.0,30659
1145253852,599676,0.0,1.0,0.0,53514
1147269005,580340,1.0,0.0,0.0,29648
1149522796,594816,0.0,1.0,0.0,33999
1146045655,582456,0.0,1.0,0.0,27172
