SubmitTime,UserID,Used Memory,OrigSiteID,GroupID,RunTime
1136280133,U2003S1,59892,clrlcgce02,G3,1850
1136280133,U2003S1,59896,clrlcgce02,G3,1853
1136280135,U2003S1,59924,clrlcgce02,G3,1853
1136280135,U2003S1,59940,clrlcgce02,G3,1853
1136280136,U2003S1,57128,clrlcgce02,G3,1854
1136280244,U2003S1,59828,clrlcgce02,G3,1849
1136280423,U2003S1,59868,clrlcgce02,G3,1850
1136280424,U2003S1,57132,clrlcgce02,G3,1850
1136280424,U2003S1,888816,clrlcgce02,G3,369
1136280425,U2003S1,57196,clrlcgce02,G3,1850
1136280724,U2003S1,58212,clrlcgce02,G3,1851
1136280724,U2003S1,953248,clrlcgce02,G3,505
1136280724,U2003S1,59904,clrlcgce02,G3,1849
1136280726,U2003S1,57136,clrlcgce02,G3,1851
1136280726,U2003S1,954548,clrlcgce02,G3,960
1136280731,U2003S1,932792,clrlcgce02,G3,402
1136280731,U2003S1,57148,clrlcgce02,G3,1850
1136280731,U2003S1,59816,clrlcgce02,G3,1851
1136280733,U2003S1,59900,clrlcgce02,G3,1850
1136280733,U2003S1,59856,clrlcgce02,G3,1850
1136281263,U2003S1,59932,clrlcgce02,G3,1850
1136281263,U2003S1,58720,clrlcgce02,G3,1850
1136281263,U2003S1,58212,clrlcgce02,G3,1850
1136281265,U2003S1,59836,clrlcgce02,G3,1850
1136281265,U2003S1,57120,clrlcgce02,G3,1851
1136281266,U2003S1,57140,clrlcgce02,G3,1852
1136281267,U2003S1,59896,clrlcgce02,G3,1851
1136281267,U2003S1,59868,clrlcgce02,G3,1851
1136281268,U2003S1,57144,clrlcgce02,G3,1852
1136281269,U2003S1,59924,clrlcgce02,G3,1852
1136281685,U2003S1,59920,clrlcgce02,G3,1851
1136281692,U2003S1,57168,clrlcgce02,G3,1850
1136281692,U2003S1,57164,clrlcgce02,G3,1850
1136281692,U2003S1,57180,clrlcgce02,G3,1850
1136281695,U2003S1,57228,clrlcgce02,G3,1852
1136281695,U2003S1,59892,clrlcgce02,G3,1853
1136281695,U2003S1,57160,clrlcgce02,G3,1852
1136281697,U2003S1,57148,clrlcgce02,G3,1850
1136281697,U2003S1,59860,clrlcgce02,G3,1850
1136281697,U2003S1,59884,clrlcgce02,G3,1850
1136281923,U2003S1,59844,clrlcgce02,G3,1850
1136281923,U2003S1,59900,clrlcgce02,G3,1851
1136281923,U2003S1,59744,clrlcgce02,G3,1851
1136282435,U2003S1,57152,clrlcgce02,G3,1850
1136282438,U2003S1,57192,clrlcgce02,G3,1860
1136283514,U2003S1,59908,clrlcgce02,G3,1853
1136283514,U2003S1,57164,clrlcgce02,G3,1853
1136283514,U2003S1,57136,clrlcgce02,G3,1853
1136283517,U2003S1,59616,clrlcgce02,G3,1852
1136283517,U2003S1,57132,clrlcgce02,G3,1851
1136283517,U2003S1,59892,clrlcgce02,G3,1852
1136283519,U2003S1,59872,clrlcgce02,G3,1851
1136283519,U2003S1,59916,clrlcgce02,G3,1851
1136283520,U2003S1,57124,clrlcgce02,G3,1850
1136283521,U2003S1,59704,clrlcgce02,G3,1850
1136283634,U2003S1,59904,clrlcgce02,G3,1850
1136284174,U2003S1,57156,clrlcgce02,G3,1853
1136284174,U2003S1,57164,clrlcgce02,G3,1850
1136284174,U2003S1,57176,clrlcgce02,G3,1851
1136284176,U2003S1,57120,clrlcgce02,G3,1851
1136284176,U2003S1,57152,clrlcgce02,G3,1850
1136284176,U2003S1,59932,clrlcgce02,G3,1851
1136284179,U2003S1,57144,clrlcgce02,G3,1850
1136284179,U2003S1,57176,clrlcgce02,G3,1850
1136284179,U2003S1,57224,clrlcgce02,G3,1850
1136284180,U2003S1,57212,clrlcgce02,G3,1851
1136284715,U2003S1,59972,clrlcgce02,G3,1853
1136284715,U2003S1,57148,clrlcgce02,G3,1853
1136284715,U2003S1,59928,clrlcgce02,G3,1853
1136284717,U2003S1,57132,clrlcgce02,G3,1852
1136284717,U2003S1,59564,clrlcgce02,G3,1852
1136284894,U2003S1,57132,clrlcgce02,G3,1850
1136284894,U2003S1,59644,clrlcgce02,G3,1851
1136284895,U2003S1,57160,clrlcgce02,G3,1850
1136284896,U2003S1,57144,clrlcgce02,G3,1850
1136284896,U2003S1,57196,clrlcgce02,G3,1850
1136285616,U2003S1,59900,clrlcgce02,G3,1853
1136285622,U2003S1,59896,clrlcgce02,G3,1850
1136285623,U2003S1,59872,clrlcgce02,G3,1850
1136285623,U2003S1,59900,clrlcgce02,G3,1850
1136285625,U2003S1,57160,clrlcgce02,G3,1851
1136285625,U2003S1,59932,clrlcgce02,G3,1851
1136285625,U2003S1,59908,clrlcgce02,G3,1850
1136285627,U2003S1,59932,clrlcgce02,G3,1850
1136285627,U2003S1,59836,clrlcgce02,G3,1850
1136285628,U2003S1,59924,clrlcgce02,G3,1850
1136285735,U2003S1,58808,clrlcgce02,G3,1849
1136285738,U2003S1,59872,clrlcgce02,G3,1851
1136286308,U2003S1,59852,clrlcgce02,G3,1852
1136286316,U2003S1,59604,clrlcgce02,G3,1851
1136286316,U2003S1,59848,clrlcgce02,G3,1851
1136286316,U2003S1,59924,clrlcgce02,G3,1851
1136286318,U2003S1,59888,clrlcgce02,G3,1852
1136286318,U2003S1,57100,clrlcgce02,G3,1850
1136286318,U2003S1,59860,clrlcgce02,G3,1852
1136286320,U2003S1,59896,clrlcgce02,G3,1851
1136286320,U2003S1,59892,clrlcgce02,G3,1851
1136286321,U2003S1,59848,clrlcgce02,G3,1851
1136286789,U2003S1,57140,clrlcgce02,G3,1851
1136286794,U2003S1,59632,clrlcgce02,G3,1851
1136286794,U2003S1,59912,clrlcgce02,G3,1850
1136286794,U2003S1,58696,clrlcgce02,G3,1850
1136286796,U2003S1,59892,clrlcgce02,G3,1850
1136287148,U2003S1,57136,clrlcgce02,G3,1849
1136287153,U2003S1,57164,clrlcgce02,G3,1851
1136287153,U2003S1,59912,clrlcgce02,G3,1850
1136287154,U2003S1,59868,clrlcgce02,G3,1851
1136287155,U2003S1,57168,clrlcgce02,G3,1851
1136287155,U2003S1,59876,clrlcgce02,G3,1850
1136287448,U2003S1,58432,clrlcgce02,G3,1850
1136287453,U2003S1,59880,clrlcgce02,G3,1851
1136287453,U2003S1,59852,clrlcgce02,G3,1852
1136287453,U2003S1,56992,clrlcgce02,G3,1852
1136287455,U2003S1,57192,clrlcgce02,G3,1852
1136287628,U2003S1,57176,clrlcgce02,G3,1851
1136287634,U2003S1,59904,clrlcgce02,G3,1853
1136287634,U2003S1,59896,clrlcgce02,G3,1853
1136287634,U2003S1,59600,clrlcgce02,G3,1850
1136287636,U2003S1,57140,clrlcgce02,G3,1852
1136287636,U2003S1,59904,clrlcgce02,G3,1852
1136287989,U2003S1,59924,clrlcgce02,G3,1849
1136287994,U2003S1,57936,clrlcgce02,G3,1851
1136287994,U2003S1,59876,clrlcgce02,G3,1849
1136287994,U2003S1,59880,clrlcgce02,G3,1851
1136287995,U2003S1,57184,clrlcgce02,G3,1851
1136288230,U2003S1,57204,clrlcgce02,G3,1851
1136288230,U2003S1,57364,clrlcgce02,G3,1851
1136288231,U2003S1,59912,clrlcgce02,G3,1851
1136288233,U2003S1,57184,clrlcgce02,G3,1850
1136288233,U2003S1,57144,clrlcgce02,G3,1850
1136288238,U2003S1,57108,clrlcgce02,G3,1850
1136288238,U2003S1,57180,clrlcgce02,G3,1850
1136288238,U2003S1,57060,clrlcgce02,G3,1849
1136288240,U2003S1,932288,clrlcgce02,G3,408
1136288828,U2003S1,57200,clrlcgce02,G3,1849
1136288835,U2003S1,59808,clrlcgce02,G3,1851
1136288835,U2003S1,57132,clrlcgce02,G3,1851
1136288835,U2003S1,57128,clrlcgce02,G3,1849
1136288837,U2003S1,57208,clrlcgce02,G3,1850
1136288837,U2003S1,59884,clrlcgce02,G3,1850
1136288837,U2003S1,57136,clrlcgce02,G3,1850
1136288839,U2003S1,59952,clrlcgce02,G3,1850
1136289069,U2003S1,57192,clrlcgce02,G3,1850
1136289069,U2003S1,59648,clrlcgce02,G3,1850
1136289069,U2003S1,57132,clrlcgce02,G3,1851
1136289307,U2003S1,57168,clrlcgce02,G3,1850
1136289307,U2003S1,59952,clrlcgce02,G3,1851
1136289308,U2003S1,59844,clrlcgce02,G3,1851
1136289309,U2003S1,57148,clrlcgce02,G3,1851
1136289309,U2003S1,57140,clrlcgce02,G3,1849
1136289584,U2003S1,57180,clrlcgce02,G3,1851
1136289588,U2003S1,59916,clrlcgce02,G3,1851
1136289588,U2003S1,59884,clrlcgce02,G3,1851
1136289588,U2003S1,59572,clrlcgce02,G3,1851
1136289823,U2003S1,57180,clrlcgce02,G3,1851
1136289829,U2003S1,57436,clrlcgce02,G3,1850
1136289829,U2003S1,59856,clrlcgce02,G3,1850
1136289829,U2003S1,59912,clrlcgce02,G3,1851
1136289831,U2003S1,57192,clrlcgce02,G3,1849
1136289831,U2003S1,57188,clrlcgce02,G3,1850
1136289831,U2003S1,59708,clrlcgce02,G3,1849
