SubmitTime,Used Memory,AverageCPUTimeUsed,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3,RunTime
1139438228,559840,1455,1.0,0.0,0.0,2053
1151627943,79244,8,0.0,1.0,0.0,67
1147984564,0,0,0.0,1.0,0.0,1
1139585475,594648,50321,1.0,0.0,0.0,51836
1139512610,568288,29953,1.0,0.0,0.0,31043
1146006900,581340,23616,0.0,1.0,0.0,25934
1152448030,0,1,0.0,1.0,0.0,1
1145394392,585004,23740,0.0,1.0,0.0,24885
1151627175,25632,9,0.0,1.0,0.0,73
1145940187,1396384,28586,0.0,1.0,0.0,31054
1151717614,71276,9,0.0,1.0,0.0,65
1151304943,72756,28,0.0,1.0,0.0,1851
1153734776,80204,8,0.0,1.0,0.0,249
1152958399,599888,40948,0.0,1.0,0.0,41661
1152981324,608820,41806,0.0,1.0,0.0,42092
1150969228,62032,25,0.0,0.0,0.0,2419
1154331722,581484,37944,0.0,0.0,0.0,38127
1145255993,601088,54015,0.0,1.0,0.0,54465
1146327075,1281256,23137,0.0,1.0,0.0,26045
1146495052,0,3,0.0,1.0,0.0,9
1151130471,1560568,31736,0.0,1.0,0.0,35587
1146041261,75536,9,0.0,1.0,0.0,1845
1151521191,581116,38765,1.0,0.0,0.0,39269
1150945922,0,1,0.0,1.0,0.0,2
1151654414,52316,9,0.0,0.0,0.0,62
1150970756,587660,48464,1.0,0.0,0.0,49286
1154523053,64580,8,0.0,1.0,0.0,166
1151791601,16456,9,1.0,0.0,0.0,79
1153727984,71376,57,0.0,0.0,0.0,6960
1145336903,599876,57807,0.0,0.0,0.0,58242
1150479843,598336,28291,1.0,0.0,0.0,28495
1151653632,20308,8,0.0,0.0,0.0,62
1151693041,25676,9,0.0,1.0,0.0,74
1153744701,74780,8,0.0,1.0,0.0,55
1145393979,573084,25872,0.0,0.0,0.0,26533
1147299045,571488,23423,1.0,0.0,0.0,25515
1151579829,66776,8,0.0,1.0,0.0,79
1146412691,588024,1162,0.0,1.0,0.0,1509
1151266363,61928,18,0.0,0.0,0.0,954
1152179934,75060,9,0.0,1.0,0.0,76
1144597960,61940,12,0.0,0.0,0.0,1852
1140916283,572864,31809,1.0,0.0,0.0,32351
1151753128,25672,9,0.0,1.0,0.0,71
1152839860,594372,38257,0.0,1.0,0.0,39051
1146456469,588056,1229,0.0,1.0,0.0,1473
1149484412,607764,3425,0.0,1.0,0.0,3512
1149657916,63880,3,0.0,1.0,0.0,189
1151712144,66792,8,0.0,1.0,0.0,79
1151655704,56336,8,0.0,0.0,0.0,62
1140790597,569908,26563,1.0,0.0,0.0,27121
1148549941,619196,34108,0.0,1.0,0.0,35893
1151909758,76604,9,0.0,1.0,0.0,1850
1147426137,571124,21918,0.0,0.0,0.0,22594
1154418856,74864,9,0.0,1.0,0.0,1852
1145656357,579996,21388,0.0,1.0,0.0,22619
1151492678,1530548,31206,0.0,1.0,0.0,34100
1146416358,588248,1164,0.0,1.0,0.0,2141
1148061279,117620,42,0.0,1.0,0.0,920
1151517385,586012,46701,1.0,0.0,0.0,47086
1150128237,608084,41870,0.0,1.0,0.0,43225
1151401772,86428,23,0.0,1.0,0.0,4900
1153735882,69880,7,0.0,1.0,0.0,250
1151946990,25668,8,0.0,1.0,0.0,74
