SubmitTime,UserID,Used Memory,RunTime
1136274120,U2003S1,961104,476
1136274123,U2003S1,937320,473
1136274123,U2003S1,7740,59
1136274241,U2003S1,965184,501
1136274244,U2003S1,956288,498
1136274600,U2003S1,958608,595
1136274607,U2003S1,935536,602
1136274607,U2003S1,984764,602
1136274607,U2003S1,950132,602
1136274609,U2003S1,951048,599
1136274609,U2003S1,951844,599
1136274609,U2003S1,943396,599
1136274611,U2003S1,953368,597
1136274611,U2003S1,938652,461
1136274611,U2003S1,949680,597
1136274841,U2003S1,951624,641
1136274847,U2003S1,944424,505
1136274848,U2003S1,951172,575
1136274848,U2003S1,952884,610
1136274849,U2003S1,959352,946
1136274850,U2003S1,959928,574
1136274850,U2003S1,977304,923
1136274851,U2003S1,941008,537
1136274852,U2003S1,983184,920
1136276453,U2003S1,952520,886
1136276459,U2003S1,949400,677
1136276459,U2003S1,947544,749
1136276459,U2003S1,952104,749
1136276465,U2003S1,947276,709
1136276465,U2003S1,950812,815
1136276465,U2003S1,951184,815
1136276469,U2003S1,938420,667
1136276469,U2003S1,965428,810
1136276469,U2003S1,958272,810
1136276474,U2003S1,956108,923
1136276474,U2003S1,916344,823
1136276479,U2003S1,951268,403
1136276479,U2003S1,955508,785
1136276479,U2003S1,945340,681
1136276516,U2003S1,944720,620
1136276516,U2003S1,966640,480
1136276517,U2003S1,954628,726
1136276518,U2003S1,951976,724
1136276518,U2003S1,946980,690
1136276521,U2003S1,956664,720
1136276522,U2003S1,952228,686
1136276522,U2003S1,950800,720
1136276523,U2003S1,944552,438
1136276523,U2003S1,945992,685
1136276771,U2003S1,59652,1856
1136276771,U2003S1,57124,1853
1136276771,U2003S1,59664,1855
1136276772,U2003S1,962728,436
1136276773,U2003S1,57172,1856
1136276997,U2003S1,953524,413
1136276997,U2003S1,958916,448
1136276998,U2003S1,86104,1856
1136277000,U2003S1,57152,1850
1136277000,U2003S1,66828,1854
1136277003,U2003S1,57172,1850
1136277003,U2003S1,952220,483
1136277003,U2003S1,57172,1849
1136277005,U2003S1,57156,1849
1136277005,U2003S1,57144,1849
1136277297,U2003S1,59140,1849
1136277297,U2003S1,58156,1850
1136277297,U2003S1,57136,1850
1136277300,U2003S1,57196,1853
1136277300,U2003S1,57192,1852
1136277309,U2003S1,59932,1851
1136277309,U2003S1,958504,442
1136277309,U2003S1,57136,1850
1136277311,U2003S1,57164,1852
1136277311,U2003S1,59928,1852
1136277464,U2003S1,59896,1856
1136277464,U2003S1,953588,437
1136277769,U2003S1,57040,1850
1136277772,U2003S1,57164,1851
1136277772,U2003S1,59928,1851
1136277772,U2003S1,955412,462
1136277773,U2003S1,59872,1852
1136277777,U2003S1,59864,1854
1136277777,U2003S1,59852,1854
1136277778,U2003S1,59876,1854
1136277780,U2003S1,59952,1852
1136277780,U2003S1,918888,398
1136278069,U2003S1,951192,431
1136278069,U2003S1,955900,466
1136278069,U2003S1,59880,1850
1136278071,U2003S1,955780,496
1136278072,U2003S1,57168,1847
1136278079,U2003S1,57156,1852
1136278079,U2003S1,57108,1851
1136278079,U2003S1,57052,1849
1136278585,U2003S1,59888,1850
1136278585,U2003S1,956724,404
1136278585,U2003S1,57160,1851
1136278587,U2003S1,57152,1852
1136278587,U2003S1,57148,1849
1136278924,U2003S1,59884,1850
1136278927,U2003S1,59888,1851
1136279288,U2003S1,59876,1850
1136279289,U2003S1,57060,1851
1136279289,U2003S1,57168,1851
1136279290,U2003S1,972600,465
1136279644,U2003S1,57172,1852
1136279644,U2003S1,57140,1849
1136279644,U2003S1,57048,1849
1136279647,U2003S1,59860,1853
1136279647,U2003S1,59916,1852
1136280124,U2003S1,952944,506
1136280131,U2003S1,57092,1852
1136280131,U2003S1,59912,1852
1136280131,U2003S1,57136,1852
1136280133,U2003S1,57164,1850
1136280133,U2003S1,59892,1850
1136280133,U2003S1,59896,1853
1136280135,U2003S1,59924,1853
1136280135,U2003S1,59940,1853
1136280136,U2003S1,57128,1854
1136280244,U2003S1,59828,1849
1136280423,U2003S1,59868,1850
1136280424,U2003S1,57132,1850
1136280424,U2003S1,888816,369
1136280425,U2003S1,57196,1850
1136280724,U2003S1,58212,1851
1136280724,U2003S1,953248,505
1136280724,U2003S1,59904,1849
1136280726,U2003S1,57136,1851
1136280726,U2003S1,954548,960
1136280731,U2003S1,932792,402
1136280731,U2003S1,57148,1850
1136280731,U2003S1,59816,1851
1136280733,U2003S1,59900,1850
1136280733,U2003S1,59856,1850
1136281263,U2003S1,59932,1850
1136281263,U2003S1,58720,1850
1136281263,U2003S1,58212,1850
1136281265,U2003S1,59836,1850
1136281265,U2003S1,57120,1851
1136281266,U2003S1,57140,1852
1136281267,U2003S1,59896,1851
1136281267,U2003S1,59868,1851
1136281268,U2003S1,57144,1852
1136281269,U2003S1,59924,1852
1136281685,U2003S1,59920,1851
1136281692,U2003S1,57168,1850
1136281692,U2003S1,57164,1850
1136281692,U2003S1,57180,1850
1136281695,U2003S1,57228,1852
1136281695,U2003S1,59892,1853
1136281695,U2003S1,57160,1852
1136281697,U2003S1,57148,1850
1136281697,U2003S1,59860,1850
1136281697,U2003S1,59884,1850
1136281923,U2003S1,59844,1850
1136281923,U2003S1,59900,1851
1136281923,U2003S1,59744,1851
1136282435,U2003S1,57152,1850
1136282438,U2003S1,57192,1860
1136283514,U2003S1,59908,1853
1136283514,U2003S1,57164,1853
1136283514,U2003S1,57136,1853
1136283517,U2003S1,59616,1852
1136283517,U2003S1,57132,1851
1136283517,U2003S1,59892,1852
1136283519,U2003S1,59872,1851
1136283519,U2003S1,59916,1851
1136283520,U2003S1,57124,1850
1136283521,U2003S1,59704,1850
1136283634,U2003S1,59904,1850
1136284174,U2003S1,57156,1853
1136284174,U2003S1,57164,1850
1136284174,U2003S1,57176,1851
1136284176,U2003S1,57120,1851
1136284176,U2003S1,57152,1850
1136284176,U2003S1,59932,1851
