SubmitTime,WaitTime,RunTime,NProcs,AverageCPUTimeUsed,Used Memory,ReqNProcs,ReqTime,ReqMemory,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID
1136276771,0,1855,1,9,59664,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136276772,1,436,1,208,962728,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136276773,1,1856,1,9,57172,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136276997,1,413,1,210,953524,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136276997,1,448,1,226,958916,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136276998,1,1856,1,9,86104,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277000,1,1850,1,9,57152,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277000,1,1854,1,10,66828,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277003,0,1850,1,9,57172,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277003,0,483,1,260,952220,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277003,136,1849,1,9,57172,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277005,134,1849,1,9,57156,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277005,134,1849,1,8,57144,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277297,1,1849,1,8,59140,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277297,1,1850,1,8,58156,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277297,1,1850,1,8,57136,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277300,1,1853,1,8,57196,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277300,1,1852,1,8,57192,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277309,1,1851,1,8,59932,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277309,1,442,1,238,958504,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277309,1,1850,1,8,57136,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277311,1,1852,1,9,57164,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277311,2,1852,1,8,59928,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277464,0,1856,1,8,59896,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277464,0,437,1,199,953588,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277769,1,1850,1,9,57040,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277772,0,1851,1,9,57164,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277772,0,1851,1,9,59928,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277772,1,462,1,243,955412,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277773,1,1852,1,9,59872,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136277777,1,1854,1,8,59864,1,31980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
